key,from,until,line,standing,turns_on,room
# ============================================================================
# ATTICA-LIVES.csv  ->  Amenti.live/ATTICA-LIVES.csv
# ATTICA-LIVES.csv · THE ORE                                        SLIP #87
# ----------------------------------------------------------------------------
# A PLACE HAS A LIFE, JUST AS A PERSON DOES. TIME IS THE THING THAT MOVES.
#
# ATTICA-WHY.csv holds ONE sentence per place, so it can only ever hold a
# moment. Laureion's says the silver strike of 483 and cannot say that the same
# hills were a copper working in the Bronze Age, a tyrant's income under
# Peisistratos, and a stopped mine after Dekeleia. Same ground, same file,
# different year.
#
# This file is one row per MOMENT. Terse, dated, auditable, and diffable. It is
# the source material and not the reading: ATTICA-TOLD.csv holds the prose
# written from these rows, and a reader can open one from the other.
#
# -- standing · WHAT THE LINE RESTS ON ---------------------------------------
# The same discipline this ship keeps everywhere else — pin against wash,
# attested against derived, draft against checked — applied to a sentence.
#
#   corpus     the claim is in a NAMED ROOM IN THIS LIBRARY. Quotable, and a
#              probe can open the file and report whether the terms are there.
#   record     general historical record and NOT in this library. True as far
#              as anyone knows and NOT CHECKABLE HERE, which is a different
#              thing and must look different.
#   inference  neither. Somebody joined two facts. Rarest, and the one most
#              worth marking.
#
# A `record` LINE CAN BE WRONG AND NOTHING HERE WILL CATCH IT. That is what
# the column is for.
#
# -- turns_on · THE EVENT THE LINE PIVOTS ON ---------------------------------
# Names a row in ATTICA-EVENTS.csv or EVENTS.csv, and OFTEN AN EVENT SOMEWHERE
# ELSE. Laureion stops in 413 because Sparta fortified Dekeleia, twenty
# kilometres north. The column is not `the event here`; it is the event this
# line turns on, and that distinction is what makes a life a history rather
# than a list.
#
# -- room · WHERE IT WOULD BE CHECKED ----------------------------------------
# `soul-key/document.md`, as ATTICA-MENTIONS.csv writes it. Required when
# standing is `corpus` and blank otherwise.
#
# -- AND THE MARKUP IS IN THE LINE -------------------------------------------
# **double asterisks** mark a proper name or a date. It is written here rather
# than guessed at render time, because a renderer that decided for itself which
# words were names would be wrong about Attica and about Marius both.
# ============================================================================
pl-580010,-3200,-1200,"Copper worked in these hills long before anyone wanted the silver beneath it.",record,,
pl-580010,-550,-510,"A tyrant's holding. **Peisistratos** drew revenue from the mines before the city did.",record,,
pl-580010,-483,-480,"A single rich strike. **Themistokles** argued the windfall into two hundred ships instead of a dividend.",record,Battle of Salamis,
pl-580010,-413,-404,"The mines stopped. **Sparta** held **Dekeleia** year-round and twenty thousand slaves walked out.",corpus,Sparta fortifies Dekeleia,thucydides/05-the-sicilian-expedition.md
pl-579885,-1400,-1150,"A **Mycenaean** citadel on the rock, walled while the palaces elsewhere burned.",record,,
pl-579885,-594,-561,**Solon** cancelled the debts and wrote law that outlasted him.,record,,
pl-579885,-561,-510,"The **Peisistratid** century. A tyranny that built, and paid for it out of **Laureion**.",record,,
pl-579885,-508,-490,**Kleisthenes** cut the citizen body into demes and made the tribes artificial on purpose.,record,Athenian democracy,
pl-579885,-480,-479,Burned by the **Persians**. The city was evacuated to **Salamis** and came back to ash.,record,Athens burned by the Persians,
pl-579885,-447,-432,"The **Parthenon** raised on the burnt foundations, out of the tribute of the empire.",record,The Parthenon begun,
pl-579885,-431,-404,"Twenty-seven years of war, and a plague in the second summer that killed a third of the city.",corpus,The plague at Athens,thucydides/03-the-plague.md
pl-579885,-399,-399,**Sokrates** tried and condemned by a jury of five hundred and one.,record,The trial of Sokrates,
pl-579885,-338,-322,**Chaeronea**. **Philip** ended the independence of the Greek cities on a plain in **Boeotia**.,record,Battle of Chaeronea,
pl-579885,-86,-86,**Sulla** stormed the walls and sacked the city that had backed **Mithridates**.,record,Sulla storms Athens,
pl-579885,267,267,The **Herulian** sack. The city withdrew behind a smaller wall built of its own rubble.,record,The Herulian sack,
pl-579885,1687,1687,A **Venetian** shell found the powder the **Ottomans** stored in the **Parthenon**.,record,The Parthenon explodes,
pl-580021,-1250,-1200,"The bull of **Marathon**, which **Theseus** took before he went to **Crete**.",corpus,,plutarch/01-theseus.md
pl-580021,-546,-546,**Peisistratos** came ashore here to take **Athens** for the third time.,corpus,,lycurgus/06-herodotus-book-one.md
pl-580021,-490,-490,The **Persians** landed on this beach and the **Athenians** held the high edge of the plain.,record,Battle of Marathon,
pl-1001897,-2000,-1450,"Palaces at **Knossos** and **Phaistos**, and a sea power with no walls.",record,,
pl-1001897,-1400,-1200,The labyrinth and the tribute of youths — the story **Athens** told about **Crete**.,corpus,,theseus/00-plutarch-theseus.md
pl-1001897,-350,-330,**Aristotle** read the **Cretan** constitution as the model **Sparta** copied.,corpus,,lycurgus/04-aristotle-politics-two.md
pl-1001897,-69,-67,Taken by **Rome** in three campaigns and made a province with **Cyrene**.,record,,
